5408, 12300, 5408, 97763, 5408, 5408, 1, 1, bread, onion, bread, grape_juice, bread 
30880, 30880, 53070, 18450, 30880, 30880, 0, 0, crackers, crackers, potato_chips, cereal, crackers 
2304, 12300, 14073, 17059, 12300, 12300, 0, 0, orange, onion, coke, jelly, onion 
97763, 14073, 2087, 2304, 14073, 2087, 0, 1, grape_juice, coke, apple, orange, coke 
42488, 30880, 17059, 97763, 97763, 30880, 2, 0, orange_juice, crackers, jelly, grape_juice, grape_juice 
53070, 17059, 42488, 12300, 42488, 12300, 1, 2, potato_chips, jelly, orange_juice, onion, orange_juice 
18450, 53070, 12300, 2304, 53070, 2304, 0, 2, cereal, potato_chips, onion, orange, potato_chips 
5408, 17059, 6050, 53070, 17059, 6050, 0, 1, bread, jelly, corn, potato_chips, jelly 
42488, 97763, 2304, 2087, 97763, 2304, 0, 1, orange_juice, grape_juice, orange, apple, grape_juice 
2304, 2304, 53070, 18450, 2304, 2304, 0, 0, orange, orange, potato_chips, cereal, orange 
53070, 12300, 17059, 6050, 12300, 6050, 0, 2, potato_chips, onion, jelly, corn, onion 
12300, 14073, 97763, 18450, 18450, 14073, 2, 0, onion, coke, grape_juice, cereal, cereal 
18450, 14073, 6050, 97763, 6050, 6050, 1, 1, cereal, coke, corn, grape_juice, corn 
97763, 42488, 53070, 18450, 42488, 18450, 0, 2, grape_juice, orange_juice, potato_chips, cereal, orange_juice 
17059, 6050, 18450, 42488, 42488, 6050, 2, 0, jelly, corn, cereal, orange_juice, orange_juice 
18450, 12300, 17059, 6050, 12300, 6050, 0, 2, cereal, onion, jelly, corn, onion 
2304, 2304, 53070, 18450, 2304, 2304, 0, 0, orange, orange, potato_chips, cereal, orange 
2304, 2087, 14073, 97763, 2087, 2087, 0, 0, orange, apple, coke, grape_juice, apple 
2304, 18450, 30880, 6050, 6050, 6050, 2, 2, orange, cereal, crackers, corn, corn 
30880, 17059, 14073, 30880, 30880, 30880, 2, 2, crackers, jelly, coke, crackers, crackers 
14073, 18450, 2304, 2087, 18450, 2304, 0, 1, coke, cereal, orange, apple, cereal 
17059, 5408, 6050, 53070, 5408, 6050, 0, 1, jelly, bread, corn, potato_chips, bread 
2304, 14073, 42488, 6050, 42488, 6050, 1, 2, orange, coke, orange_juice, corn, orange_juice 
5408, 14073, 6050, 12300, 6050, 6050, 1, 1, bread, coke, corn, onion, corn 
14073, 14073, 2087, 2304, 14073, 14073, 0, 0, coke, coke, apple, orange, coke 
97763, 53070, 17059, 5408, 17059, 5408, 1, 2, grape_juice, potato_chips, jelly, bread, jelly 
5408, 2087, 12300, 5408, 5408, 5408, 2, 2, bread, apple, onion, bread, bread 
30880, 2304, 18450, 5408, 2304, 2304, 0, 0, crackers, orange, cereal, bread, orange 
30880, 12300, 6050, 18450, 18450, 6050, 2, 1, crackers, onion, corn, cereal, cereal 
42488, 14073, 53070, 2304, 14073, 2304, 0, 2, orange_juice, coke, potato_chips, orange, coke 
12300, 42488, 97763, 30880, 30880, 30880, 2, 2, onion, orange_juice, grape_juice, crackers, crackers 
5408, 6050, 5408, 2304, 5408, 5408, 1, 1, bread, corn, bread, orange, bread 
53070, 2304, 18450, 97763, 97763, 2304, 2, 0, potato_chips, orange, cereal, grape_juice, grape_juice 
14073, 17059, 5408, 6050, 17059, 6050, 0, 2, coke, jelly, bread, corn, jelly 
18450, 2304, 5408, 42488, 5408, 2304, 1, 0, cereal, orange, bread, orange_juice, bread 
30880, 2087, 42488, 18450, 42488, 18450, 1, 2, crackers, apple, orange_juice, cereal, orange_juice 
12300, 2087, 12300, 30880, 12300, 12300, 1, 1, onion, apple, onion, crackers, onion 
53070, 12300, 42488, 6050, 12300, 6050, 0, 2, potato_chips, onion, orange_juice, corn, onion 
17059, 42488, 14073, 5408, 42488, 5408, 0, 2, jelly, orange_juice, coke, bread, orange_juice 
42488, 97763, 17059, 12300, 97763, 12300, 0, 2, orange_juice, grape_juice, jelly, onion, grape_juice 
42488, 6050, 14073, 53070, 14073, 6050, 1, 0, orange_juice, corn, coke, potato_chips, coke 
2304, 12300, 5408, 97763, 12300, 5408, 0, 1, orange, onion, bread, grape_juice, onion 
6050, 17059, 5408, 18450, 17059, 5408, 0, 1, corn, jelly, bread, cereal, jelly 
30880, 18450, 2304, 2087, 18450, 2304, 0, 1, crackers, cereal, orange, apple, cereal 
2304, 42488, 2304, 30880, 2304, 2304, 1, 1, orange, orange_juice, orange, crackers, orange 
30880, 97763, 17059, 14073, 17059, 14073, 1, 2, crackers, grape_juice, jelly, coke, jelly 
2304, 2304, 17059, 14073, 2304, 2304, 0, 0, orange, orange, jelly, coke, orange 
18450, 42488, 2304, 30880, 30880, 2304, 2, 1, cereal, orange_juice, orange, crackers, crackers 
30880, 17059, 18450, 30880, 30880, 30880, 2, 2, crackers, jelly, cereal, crackers, crackers 
2087, 17059, 2087, 12300, 2087, 2087, 1, 1, apple, jelly, apple, onion, apple 
14073, 30880, 14073, 2304, 14073, 14073, 1, 1, coke, crackers, coke, orange, coke 
17059, 53070, 6050, 12300, 53070, 6050, 0, 1, jelly, potato_chips, corn, onion, potato_chips 
2304, 2087, 42488, 6050, 2087, 6050, 0, 2, orange, apple, orange_juice, corn, apple 
97763, 42488, 97763, 14073, 97763, 97763, 1, 1, grape_juice, orange_juice, grape_juice, coke, grape_juice 
30880, 18450, 53070, 6050, 18450, 6050, 0, 2, crackers, cereal, potato_chips, corn, cereal 
18450, 2087, 12300, 30880, 30880, 2087, 2, 0, cereal, apple, onion, crackers, crackers 
30880, 18450, 53070, 14073, 18450, 18450, 0, 0, crackers, cereal, potato_chips, coke, cereal 
14073, 97763, 6050, 17059, 17059, 6050, 2, 1, coke, grape_juice, corn, jelly, jelly 
18450, 2087, 42488, 14073, 2087, 2087, 0, 0, cereal, apple, orange_juice, coke, apple 
30880, 97763, 18450, 42488, 18450, 18450, 1, 1, crackers, grape_juice, cereal, orange_juice, cereal 
18450, 2087, 97763, 12300, 2087, 2087, 0, 0, cereal, apple, grape_juice, onion, apple 
12300, 42488, 6050, 53070, 6050, 6050, 1, 1, onion, orange_juice, corn, potato_chips, corn 
2304, 42488, 14073, 5408, 42488, 5408, 0, 2, orange, orange_juice, coke, bread, orange_juice 
6050, 42488, 14073, 17059, 17059, 14073, 2, 1, corn, orange_juice, coke, jelly, jelly 
30880, 2087, 6050, 5408, 5408, 6050, 2, 1, crackers, apple, corn, bread, bread 
53070, 12300, 17059, 6050, 6050, 6050, 2, 2, potato_chips, onion, jelly, corn, corn 
14073, 97763, 2087, 5408, 2087, 2087, 1, 1, coke, grape_juice, apple, bread, apple 
97763, 53070, 6050, 12300, 53070, 6050, 0, 1, grape_juice, potato_chips, corn, onion, potato_chips 
2304, 2087, 14073, 97763, 2087, 2087, 0, 0, orange, apple, coke, grape_juice, apple 
12300, 2087, 53070, 14073, 2087, 2087, 0, 0, onion, apple, potato_chips, coke, apple 
53070, 5408, 6050, 53070, 53070, 53070, 2, 2, potato_chips, bread, corn, potato_chips, potato_chips 
14073, 97763, 17059, 18450, 97763, 18450, 0, 2, coke, grape_juice, jelly, cereal, grape_juice 
14073, 2304, 2087, 42488, 42488, 2304, 2, 0, coke, orange, apple, orange_juice, orange_juice 
53070, 17059, 6050, 18450, 6050, 6050, 1, 1, potato_chips, jelly, corn, cereal, corn 
14073, 12300, 17059, 6050, 17059, 6050, 1, 2, coke, onion, jelly, corn, jelly 
6050, 6050, 2304, 17059, 6050, 6050, 0, 0, corn, corn, orange, jelly, corn 
30880, 14073, 18450, 12300, 18450, 18450, 1, 1, crackers, coke, cereal, onion, cereal 
12300, 18450, 5408, 2087, 2087, 5408, 2, 1, onion, cereal, bread, apple, apple 
6050, 17059, 30880, 12300, 12300, 12300, 2, 2, corn, jelly, crackers, onion, onion 
97763, 2087, 18450, 6050, 2087, 2087, 0, 0, grape_juice, apple, cereal, corn, apple 
12300, 97763, 17059, 2304, 2304, 2304, 2, 2, onion, grape_juice, jelly, orange, orange 
30880, 42488, 53070, 12300, 42488, 12300, 0, 2, crackers, orange_juice, potato_chips, onion, orange_juice 
2304, 42488, 6050, 5408, 42488, 6050, 0, 1, orange, orange_juice, corn, bread, orange_juice 
30880, 2304, 5408, 12300, 5408, 2304, 1, 0, crackers, orange, bread, onion, bread 
2087, 17059, 2304, 53070, 17059, 2304, 0, 1, apple, jelly, orange, potato_chips, jelly 
17059, 42488, 53070, 30880, 42488, 30880, 0, 2, jelly, orange_juice, potato_chips, crackers, orange_juice 
30880, 2087, 12300, 30880, 30880, 30880, 2, 2, crackers, apple, onion, crackers, crackers 
6050, 2304, 53070, 2087, 2304, 2304, 0, 0, corn, orange, potato_chips, apple, orange 
12300, 12300, 6050, 18450, 12300, 12300, 0, 0, onion, onion, corn, cereal, onion 
30880, 17059, 5408, 6050, 6050, 6050, 2, 2, crackers, jelly, bread, corn, corn 
17059, 97763, 18450, 53070, 97763, 18450, 0, 1, jelly, grape_juice, cereal, potato_chips, grape_juice 
30880, 97763, 5408, 14073, 5408, 5408, 1, 1, crackers, grape_juice, bread, coke, bread 
42488, 53070, 17059, 18450, 17059, 18450, 1, 2, orange_juice, potato_chips, jelly, cereal, jelly 
5408, 12300, 2087, 14073, 14073, 12300, 2, 0, bread, onion, apple, coke, coke 
14073, 2087, 17059, 30880, 17059, 2087, 1, 0, coke, apple, jelly, crackers, jelly 
2087, 14073, 53070, 2304, 2304, 2304, 2, 2, apple, coke, potato_chips, orange, orange 
12300, 42488, 6050, 17059, 6050, 6050, 1, 1, onion, orange_juice, corn, jelly, corn 
53070, 12300, 5408, 97763, 5408, 5408, 1, 1, potato_chips, onion, bread, grape_juice, bread 
18450, 18450, 5408, 6050, 18450, 18450, 0, 0, cereal, cereal, bread, corn, cereal 
14073, 17059, 42488, 2087, 17059, 2087, 0, 2, coke, jelly, orange_juice, apple, jelly 
17059, 2087, 18450, 6050, 18450, 6050, 1, 2, jelly, apple, cereal, corn, cereal 
14073, 42488, 53070, 2304, 2304, 2304, 2, 2, coke, orange_juice, potato_chips, orange, orange 
6050, 17059, 6050, 18450, 6050, 6050, 1, 1, corn, jelly, corn, cereal, corn 
5408, 6050, 2087, 17059, 6050, 6050, 0, 0, bread, corn, apple, jelly, corn 
12300, 2304, 5408, 42488, 2304, 2304, 0, 0, onion, orange, bread, orange_juice, orange 
17059, 12300, 97763, 30880, 30880, 12300, 2, 0, jelly, onion, grape_juice, crackers, crackers 
53070, 2087, 18450, 53070, 53070, 53070, 2, 2, potato_chips, apple, cereal, potato_chips, potato_chips 
18450, 2304, 53070, 18450, 18450, 18450, 2, 2, cereal, orange, potato_chips, cereal, cereal 
42488, 2087, 12300, 5408, 2087, 5408, 0, 2, orange_juice, apple, onion, bread, apple 
42488, 6050, 97763, 5408, 97763, 6050, 1, 0, orange_juice, corn, grape_juice, bread, grape_juice 
97763, 6050, 18450, 42488, 42488, 6050, 2, 0, grape_juice, corn, cereal, orange_juice, orange_juice 
17059, 2087, 5408, 53070, 5408, 5408, 1, 1, jelly, apple, bread, potato_chips, bread 
97763, 18450, 2304, 6050, 18450, 6050, 0, 2, grape_juice, cereal, orange, corn, cereal 
42488, 97763, 12300, 6050, 97763, 6050, 0, 2, orange_juice, grape_juice, onion, corn, grape_juice 
6050, 18450, 2304, 30880, 18450, 2304, 0, 1, corn, cereal, orange, crackers, cereal 
18450, 2304, 5408, 12300, 5408, 2304, 1, 0, cereal, orange, bread, onion, bread 
42488, 97763, 17059, 14073, 97763, 14073, 0, 2, orange_juice, grape_juice, jelly, coke, grape_juice 
18450, 42488, 53070, 2304, 53070, 2304, 1, 2, cereal, orange_juice, potato_chips, orange, potato_chips 
30880, 30880, 12300, 42488, 30880, 30880, 0, 0, crackers, crackers, onion, orange_juice, crackers 
6050, 97763, 42488, 5408, 42488, 5408, 1, 2, corn, grape_juice, orange_juice, bread, orange_juice 
30880, 5408, 2304, 2087, 5408, 2304, 0, 1, crackers, bread, orange, apple, bread 
17059, 2087, 12300, 6050, 2087, 6050, 0, 2, jelly, apple, onion, corn, apple 
5408, 42488, 14073, 17059, 17059, 14073, 2, 1, bread, orange_juice, coke, jelly, jelly 
12300, 30880, 5408, 42488, 42488, 5408, 2, 1, onion, crackers, bread, orange_juice, orange_juice 
30880, 18450, 30880, 5408, 30880, 30880, 1, 1, crackers, cereal, crackers, bread, crackers 
2304, 2304, 18450, 5408, 2304, 2304, 0, 0, orange, orange, cereal, bread, orange 
97763, 42488, 53070, 14073, 42488, 14073, 0, 2, grape_juice, orange_juice, potato_chips, coke, orange_juice 
6050, 53070, 17059, 5408, 5408, 5408, 2, 2, corn, potato_chips, jelly, bread, bread 
14073, 30880, 2304, 17059, 17059, 2304, 2, 1, coke, crackers, orange, jelly, jelly 
2304, 2304, 18450, 97763, 2304, 2304, 0, 0, orange, orange, cereal, grape_juice, orange 
30880, 2304, 2087, 42488, 42488, 2304, 2, 0, crackers, orange, apple, orange_juice, orange_juice 
14073, 17059, 30880, 12300, 17059, 12300, 0, 2, coke, jelly, crackers, onion, jelly 
6050, 97763, 18450, 53070, 97763, 18450, 0, 1, corn, grape_juice, cereal, potato_chips, grape_juice 
14073, 42488, 53070, 14073, 14073, 14073, 2, 2, coke, orange_juice, potato_chips, coke, coke 
2304, 42488, 18450, 14073, 42488, 14073, 0, 2, orange, orange_juice, cereal, coke, orange_juice 
12300, 14073, 30880, 5408, 5408, 5408, 2, 2, onion, coke, crackers, bread, bread 
97763, 18450, 30880, 5408, 5408, 5408, 2, 2, grape_juice, cereal, crackers, bread, bread 
12300, 14073, 42488, 6050, 6050, 6050, 2, 2, onion, coke, orange_juice, corn, corn 
53070, 5408, 42488, 2087, 5408, 2087, 0, 2, potato_chips, bread, orange_juice, apple, bread 
30880, 30880, 6050, 17059, 30880, 30880, 0, 0, crackers, crackers, corn, jelly, crackers 
30880, 17059, 53070, 14073, 53070, 14073, 1, 2, crackers, jelly, potato_chips, coke, potato_chips 
30880, 17059, 5408, 6050, 5408, 6050, 1, 2, crackers, jelly, bread, corn, bread 
5408, 12300, 5408, 30880, 5408, 5408, 1, 1, bread, onion, bread, crackers, bread 
42488, 42488, 12300, 5408, 42488, 42488, 0, 0, orange_juice, orange_juice, onion, bread, orange_juice 
97763, 17059, 12300, 18450, 17059, 18450, 0, 2, grape_juice, jelly, onion, cereal, jelly 
6050, 18450, 2304, 2087, 2304, 2304, 1, 1, corn, cereal, orange, apple, orange 
18450, 12300, 42488, 6050, 42488, 6050, 1, 2, cereal, onion, orange_juice, corn, orange_juice 
42488, 18450, 42488, 17059, 42488, 42488, 1, 1, orange_juice, cereal, orange_juice, jelly, orange_juice 
42488, 14073, 30880, 42488, 42488, 42488, 2, 2, orange_juice, coke, crackers, orange_juice, orange_juice 
2304, 12300, 2087, 14073, 2087, 2087, 1, 1, orange, onion, apple, coke, apple 
2304, 97763, 42488, 53070, 42488, 42488, 1, 1, orange, grape_juice, orange_juice, potato_chips, orange_juice 
30880, 42488, 53070, 5408, 53070, 5408, 1, 2, crackers, orange_juice, potato_chips, bread, potato_chips 
6050, 2087, 17059, 14073, 2087, 2087, 0, 0, corn, apple, jelly, coke, apple 
97763, 42488, 6050, 17059, 42488, 6050, 0, 1, grape_juice, orange_juice, corn, jelly, orange_juice 
42488, 17059, 5408, 30880, 17059, 5408, 0, 1, orange_juice, jelly, bread, crackers, jelly 
17059, 30880, 5408, 6050, 30880, 6050, 0, 2, jelly, crackers, bread, corn, crackers 
42488, 42488, 14073, 12300, 42488, 42488, 0, 0, orange_juice, orange_juice, coke, onion, orange_juice 
14073, 53070, 97763, 5408, 53070, 5408, 0, 2, coke, potato_chips, grape_juice, bread, potato_chips 
12300, 42488, 6050, 53070, 6050, 6050, 1, 1, onion, orange_juice, corn, potato_chips, corn 
53070, 6050, 5408, 2304, 2304, 2304, 2, 2, potato_chips, corn, bread, orange, orange 
42488, 42488, 53070, 30880, 42488, 42488, 0, 0, orange_juice, orange_juice, potato_chips, crackers, orange_juice 
2087, 17059, 5408, 18450, 17059, 5408, 0, 1, apple, jelly, bread, cereal, jelly 
17059, 6050, 2087, 2304, 6050, 2304, 0, 2, jelly, corn, apple, orange, corn 
12300, 6050, 30880, 2304, 2304, 2304, 2, 2, onion, corn, crackers, orange, orange 
6050, 12300, 6050, 30880, 6050, 6050, 1, 1, corn, onion, corn, crackers, corn 
18450, 97763, 5408, 14073, 5408, 5408, 1, 1, cereal, grape_juice, bread, coke, bread 
6050, 2304, 17059, 14073, 17059, 2304, 1, 0, corn, orange, jelly, coke, jelly 
5408, 17059, 5408, 18450, 5408, 5408, 1, 1, bread, jelly, bread, cereal, bread 
97763, 97763, 2087, 5408, 97763, 97763, 0, 0, grape_juice, grape_juice, apple, bread, grape_juice 
17059, 2087, 18450, 14073, 14073, 18450, 2, 1, jelly, apple, cereal, coke, coke 
14073, 30880, 14073, 2304, 14073, 14073, 1, 1, coke, crackers, coke, orange, coke 
42488, 97763, 42488, 6050, 42488, 42488, 1, 1, orange_juice, grape_juice, orange_juice, corn, orange_juice 
53070, 2304, 2087, 12300, 2087, 2304, 1, 0, potato_chips, orange, apple, onion, apple 
14073, 6050, 5408, 2304, 5408, 6050, 1, 0, coke, corn, bread, orange, bread 
14073, 42488, 12300, 2304, 42488, 2304, 0, 2, coke, orange_juice, onion, orange, orange_juice 
30880, 18450, 42488, 17059, 18450, 18450, 0, 0, crackers, cereal, orange_juice, jelly, cereal 
6050, 5408, 2304, 30880, 2304, 2304, 1, 1, corn, bread, orange, crackers, orange 
12300, 6050, 14073, 53070, 53070, 6050, 2, 0, onion, corn, coke, potato_chips, potato_chips 
2304, 53070, 97763, 2304, 2304, 2304, 2, 2, orange, potato_chips, grape_juice, orange, orange 
97763, 12300, 14073, 17059, 17059, 14073, 2, 1, grape_juice, onion, coke, jelly, jelly 
18450, 42488, 18450, 14073, 18450, 18450, 1, 1, cereal, orange_juice, cereal, coke, cereal 
6050, 5408, 17059, 2087, 5408, 5408, 0, 0, corn, bread, jelly, apple, bread 
97763, 12300, 6050, 18450, 18450, 6050, 2, 1, grape_juice, onion, corn, cereal, cereal 
2087, 53070, 97763, 12300, 12300, 12300, 2, 2, apple, potato_chips, grape_juice, onion, onion 
42488, 14073, 6050, 5408, 14073, 6050, 0, 1, orange_juice, coke, corn, bread, coke 
2304, 6050, 2304, 97763, 2304, 2304, 1, 1, orange, corn, orange, grape_juice, orange 
17059, 2087, 12300, 5408, 2087, 5408, 0, 2, jelly, apple, onion, bread, apple 
30880, 14073, 53070, 2304, 53070, 2304, 1, 2, crackers, coke, potato_chips, orange, potato_chips 
30880, 2087, 30880, 97763, 30880, 30880, 1, 1, crackers, apple, crackers, grape_juice, crackers 
17059, 5408, 17059, 12300, 17059, 17059, 1, 1, jelly, bread, jelly, onion, jelly 
53070, 30880, 14073, 2304, 30880, 2304, 0, 2, potato_chips, crackers, coke, orange, crackers 
2087, 30880, 17059, 97763, 17059, 30880, 1, 0, apple, crackers, jelly, grape_juice, jelly 
5408, 30880, 42488, 18450, 30880, 18450, 0, 2, bread, crackers, orange_juice, cereal, crackers 
5408, 97763, 2087, 5408, 5408, 5408, 2, 2, bread, grape_juice, apple, bread, bread 
6050, 42488, 53070, 30880, 30880, 30880, 2, 2, corn, orange_juice, potato_chips, crackers, crackers 
5408, 18450, 2304, 2087, 18450, 2304, 0, 1, bread, cereal, orange, apple, cereal 
14073, 12300, 6050, 18450, 6050, 6050, 1, 1, coke, onion, corn, cereal, corn 
2304, 2087, 30880, 97763, 2087, 2087, 0, 0, orange, apple, crackers, grape_juice, apple 
18450, 12300, 97763, 42488, 97763, 42488, 1, 2, cereal, onion, grape_juice, orange_juice, grape_juice 
6050, 18450, 12300, 2087, 2087, 2087, 2, 2, corn, cereal, onion, apple, apple 
53070, 42488, 30880, 6050, 30880, 6050, 1, 2, potato_chips, orange_juice, crackers, corn, crackers 
2087, 97763, 14073, 12300, 12300, 14073, 2, 1, apple, grape_juice, coke, onion, onion 
14073, 30880, 53070, 2087, 2087, 2087, 2, 2, coke, crackers, potato_chips, apple, apple 
30880, 18450, 5408, 2087, 18450, 18450, 0, 0, crackers, cereal, bread, apple, cereal 
5408, 6050, 17059, 14073, 17059, 6050, 1, 0, bread, corn, jelly, coke, jelly 
18450, 97763, 5408, 17059, 5408, 17059, 1, 2, cereal, grape_juice, bread, jelly, bread 
53070, 97763, 17059, 12300, 97763, 12300, 0, 2, potato_chips, grape_juice, jelly, onion, grape_juice 
42488, 2087, 53070, 14073, 14073, 2087, 2, 0, orange_juice, apple, potato_chips, coke, coke 
18450, 42488, 53070, 18450, 18450, 18450, 2, 2, cereal, orange_juice, potato_chips, cereal, cereal 
14073, 30880, 53070, 17059, 30880, 30880, 0, 0, coke, crackers, potato_chips, jelly, crackers 
17059, 17059, 5408, 30880, 17059, 17059, 0, 0, jelly, jelly, bread, crackers, jelly 
30880, 42488, 30880, 6050, 30880, 30880, 1, 1, crackers, orange_juice, crackers, corn, crackers 
53070, 12300, 6050, 18450, 18450, 6050, 2, 1, potato_chips, onion, corn, cereal, cereal 
2087, 17059, 30880, 12300, 30880, 12300, 1, 2, apple, jelly, crackers, onion, crackers 
42488, 42488, 18450, 2304, 42488, 42488, 0, 0, orange_juice, orange_juice, cereal, orange, orange_juice 
14073, 53070, 17059, 18450, 53070, 18450, 0, 2, coke, potato_chips, jelly, cereal, potato_chips 
17059, 42488, 53070, 17059, 17059, 17059, 2, 2, jelly, orange_juice, potato_chips, jelly, jelly 
30880, 30880, 6050, 14073, 30880, 30880, 0, 0, crackers, crackers, corn, coke, crackers 
53070, 2304, 18450, 5408, 18450, 2304, 1, 0, potato_chips, orange, cereal, bread, cereal 
6050, 30880, 53070, 18450, 53070, 18450, 1, 2, corn, crackers, potato_chips, cereal, potato_chips 
17059, 6050, 97763, 5408, 97763, 6050, 1, 0, jelly, corn, grape_juice, bread, grape_juice 
18450, 97763, 53070, 6050, 6050, 6050, 2, 2, cereal, grape_juice, potato_chips, corn, corn 
5408, 2087, 53070, 42488, 42488, 2087, 2, 0, bread, apple, potato_chips, orange_juice, orange_juice 
2304, 17059, 6050, 53070, 6050, 6050, 1, 1, orange, jelly, corn, potato_chips, corn 
53070, 2087, 42488, 6050, 6050, 6050, 2, 2, potato_chips, apple, orange_juice, corn, corn 
17059, 30880, 14073, 53070, 14073, 14073, 1, 1, jelly, crackers, coke, potato_chips, coke 
17059, 30880, 12300, 42488, 30880, 12300, 0, 1, jelly, crackers, onion, orange_juice, crackers 
5408, 6050, 18450, 42488, 18450, 6050, 1, 0, bread, corn, cereal, orange_juice, cereal 
17059, 53070, 97763, 17059, 17059, 17059, 2, 2, jelly, potato_chips, grape_juice, jelly, jelly 
97763, 53070, 12300, 2304, 53070, 2304, 0, 2, grape_juice, potato_chips, onion, orange, potato_chips 
2087, 17059, 2304, 12300, 2304, 2304, 1, 1, apple, jelly, orange, onion, orange 
18450, 97763, 2087, 5408, 5408, 2087, 2, 1, cereal, grape_juice, apple, bread, bread 
17059, 30880, 17059, 97763, 17059, 17059, 1, 1, jelly, crackers, jelly, grape_juice, jelly 
2304, 97763, 2304, 42488, 2304, 2304, 1, 1, orange, grape_juice, orange, orange_juice, orange 
6050, 18450, 14073, 6050, 6050, 6050, 2, 2, corn, cereal, coke, corn, corn 
2304, 97763, 5408, 30880, 97763, 5408, 0, 1, orange, grape_juice, bread, crackers, grape_juice 
5408, 14073, 53070, 12300, 53070, 12300, 1, 2, bread, coke, potato_chips, onion, potato_chips 
53070, 5408, 2304, 2087, 5408, 2304, 0, 1, potato_chips, bread, orange, apple, bread 
18450, 6050, 2087, 2304, 2087, 6050, 1, 0, cereal, corn, apple, orange, apple 
53070, 97763, 17059, 18450, 18450, 18450, 2, 2, potato_chips, grape_juice, jelly, cereal, cereal 
14073, 14073, 30880, 18450, 14073, 14073, 0, 0, coke, coke, crackers, cereal, coke 
2087, 6050, 2087, 2304, 2087, 2087, 1, 1, apple, corn, apple, orange, apple 
6050, 30880, 53070, 5408, 5408, 5408, 2, 2, corn, crackers, potato_chips, bread, bread 
17059, 17059, 12300, 18450, 17059, 17059, 0, 0, jelly, jelly, onion, cereal, jelly 
18450, 18450, 53070, 14073, 18450, 18450, 0, 0, cereal, cereal, potato_chips, coke, cereal 
6050, 42488, 12300, 5408, 42488, 5408, 0, 2, corn, orange_juice, onion, bread, orange_juice 
14073, 97763, 18450, 6050, 97763, 6050, 0, 2, coke, grape_juice, cereal, corn, grape_juice 
12300, 97763, 12300, 6050, 12300, 12300, 1, 1, onion, grape_juice, onion, corn, onion 
97763, 97763, 42488, 6050, 97763, 97763, 0, 0, grape_juice, grape_juice, orange_juice, corn, grape_juice 
2087, 2087, 6050, 53070, 2087, 2087, 0, 0, apple, apple, corn, potato_chips, apple 
18450, 42488, 17059, 5408, 5408, 17059, 2, 1, cereal, orange_juice, jelly, bread, bread 
14073, 42488, 97763, 14073, 14073, 14073, 2, 2, coke, orange_juice, grape_juice, coke, coke 
42488, 18450, 5408, 6050, 6050, 6050, 2, 2, orange_juice, cereal, bread, corn, corn 
14073, 5408, 17059, 12300, 17059, 5408, 1, 0, coke, bread, jelly, onion, jelly 
30880, 12300, 97763, 42488, 97763, 12300, 1, 0, crackers, onion, grape_juice, orange_juice, grape_juice 
5408, 18450, 5408, 2087, 5408, 5408, 1, 1, bread, cereal, bread, apple, bread 
2087, 42488, 6050, 5408, 6050, 6050, 1, 1, apple, orange_juice, corn, bread, corn 
14073, 17059, 2304, 12300, 2304, 2304, 1, 1, coke, jelly, orange, onion, orange 
97763, 14073, 53070, 2304, 2304, 2304, 2, 2, grape_juice, coke, potato_chips, orange, orange 
97763, 97763, 42488, 53070, 97763, 97763, 0, 0, grape_juice, grape_juice, orange_juice, potato_chips, grape_juice 
97763, 2087, 53070, 42488, 42488, 2087, 2, 0, grape_juice, apple, potato_chips, orange_juice, orange_juice 
18450, 2304, 2087, 42488, 2087, 2304, 1, 0, cereal, orange, apple, orange_juice, apple 
6050, 6050, 2304, 17059, 6050, 6050, 0, 0, corn, corn, orange, jelly, corn 
30880, 14073, 97763, 18450, 18450, 18450, 2, 2, crackers, coke, grape_juice, cereal, cereal 
97763, 18450, 5408, 6050, 5408, 5408, 1, 1, grape_juice, cereal, bread, corn, bread 
2087, 17059, 12300, 18450, 12300, 18450, 1, 2, apple, jelly, onion, cereal, onion 
18450, 30880, 53070, 17059, 17059, 30880, 2, 0, cereal, crackers, potato_chips, jelly, jelly 
2304, 18450, 5408, 2087, 2087, 5408, 2, 1, orange, cereal, bread, apple, apple 
6050, 18450, 53070, 14073, 18450, 14073, 0, 2, corn, cereal, potato_chips, coke, cereal 
5408, 12300, 2087, 53070, 53070, 12300, 2, 0, bread, onion, apple, potato_chips, potato_chips 
12300, 12300, 97763, 30880, 12300, 12300, 0, 0, onion, onion, grape_juice, crackers, onion 
18450, 17059, 14073, 30880, 17059, 30880, 0, 2, cereal, jelly, coke, crackers, jelly 
2087, 30880, 2304, 97763, 2304, 2304, 1, 1, apple, crackers, orange, grape_juice, orange 
5408, 17059, 53070, 2087, 53070, 2087, 1, 2, bread, jelly, potato_chips, apple, potato_chips 
12300, 97763, 5408, 14073, 14073, 5408, 2, 1, onion, grape_juice, bread, coke, coke 
2087, 14073, 5408, 53070, 5408, 5408, 1, 1, apple, coke, bread, potato_chips, bread 
12300, 14073, 12300, 5408, 12300, 12300, 1, 1, onion, coke, onion, bread, onion 
2087, 42488, 2304, 17059, 2304, 2304, 1, 1, apple, orange_juice, orange, jelly, orange 
30880, 2087, 18450, 53070, 53070, 18450, 2, 1, crackers, apple, cereal, potato_chips, potato_chips 
6050, 30880, 12300, 14073, 12300, 14073, 1, 2, corn, crackers, onion, coke, onion 
