"dr_pepper,sprite","cereal,breakfast_cereal,cereal,tea,coffee_sugar,sprite"
"soup,noodles","cereal,breakfast_cereal,cereal,tea,coffee_sugar,sprite,dr_pepper,noodles"
"banana,orange","cereal,breakfast_cereal,cereal,tea,coffee_sugar,sprite,dr_pepper,noodles,soup,orange"
"graham_crackers,cereal",cereal
"cookies,graham_crackers","cereal,graham_crackers,cereal"
"orange,apple","cereal,graham_crackers,cereal,cookies,apple"
"ginger,orange","cereal,graham_crackers,cereal,cookies,apple,orange"
"coffee_sugar,tea","cereal,graham_crackers,cereal,cookies,apple,orange,ginger,oatmeal,tea"
"peas,soup","cereal,graham_crackers,cereal,cookies,apple,orange,ginger,oatmeal,tea,coffee_sugar,noodles,peanut_butter,soup"
"crackers,cereal",cereal
"breakfast_cereal,crackers","cereal,crackers,cereal"
"tea,breakfast_cereal","cereal,crackers,cereal,breakfast_cereal"
"coke,fanta","cereal,crackers,cereal,breakfast_cereal,tea,fanta"
"sprite,coke","cereal,crackers,cereal,breakfast_cereal,tea,fanta,coke"
"apple,orange","cereal,crackers,cereal,breakfast_cereal,tea,fanta,coke,sprite,noodles,soup,orange"
"cookies,breakfast_cereal",breakfast_cereal
"graham_crackers,cookies","breakfast_cereal,cookies,breakfast_cereal"
"nutella,noodles","breakfast_cereal,cookies,breakfast_cereal,graham_crackers,tea,oatmeal,noodles"
"soup,jam",jam
"sprite,soup","jam,soup,jam"
"chili,sprite","jam,soup,jam,sprite"
"peas,chili","jam,soup,jam,sprite,chili"
"tea,breakfast_cereal","jam,soup,jam,sprite,chili,peas,breakfast_cereal"
"graham_crackers,tea","jam,soup,jam,sprite,chili,peas,breakfast_cereal,tea"
"orange,banana","jam,soup,jam,sprite,chili,peas,breakfast_cereal,tea,graham_crackers,banana"
"ginger,banana","jam,soup,jam,sprite,chili,peas,breakfast_cereal,tea,graham_crackers,banana,orange"
"fanta,sprite",sprite
"orange,banana","sprite,fanta,sprite,banana"
"jam,peanut_butter","sprite,fanta,sprite,banana,orange,peanut_butter"
"tea,crackers","sprite,fanta,sprite,banana,orange,peanut_butter,jam,crackers"
"crackers,graham_crackers","cereal,graham_crackers"
"soup,chili","cereal,graham_crackers,crackers,oatmeal,chili"
"peas,soup","cereal,graham_crackers,crackers,oatmeal,chili,soup"
"orange,banana","cereal,graham_crackers,crackers,oatmeal,chili,soup,peas,banana"
"ginger,orange","cereal,graham_crackers,crackers,oatmeal,chili,soup,peas,banana,orange,peanut_butter"
"cereal,breakfast_cereal",breakfast_cereal
"graham_crackers,cereal","breakfast_cereal,cereal,breakfast_cereal"
"crackers,graham_crackers","breakfast_cereal,cereal,breakfast_cereal,graham_crackers"
"orange,banana","breakfast_cereal,cereal,breakfast_cereal,graham_crackers,crackers,oatmeal,banana"
"peanut_butter,jam","breakfast_cereal,cereal,breakfast_cereal,graham_crackers,crackers,oatmeal,banana,orange,coffee_sugar,jam"
"crackers,cereal",cereal
"noodles,soup","cereal,crackers,cereal,butter,soup"
"jam,nutella","cereal,crackers,cereal,butter,soup,noodles,soup,nutella"
"orange,banana","cereal,crackers,cereal,butter,soup,noodles,soup,nutella,jam,banana"
"ginger,banana","cereal,crackers,cereal,butter,soup,noodles,soup,nutella,jam,banana,orange"
"carrots,ginger","cereal,crackers,cereal,butter,soup,noodles,soup,nutella,jam,banana,orange,ginger"
"cereal,graham_crackers",graham_crackers
"crackers,cereal","graham_crackers,cereal,graham_crackers"
"nutella,oatmeal","graham_crackers,cereal,graham_crackers,crackers,oatmeal"
"chili,nutella","graham_crackers,cereal,graham_crackers,crackers,oatmeal,nutella"
"butter,chili","graham_crackers,cereal,graham_crackers,crackers,oatmeal,nutella,chili"
"corn,butter","graham_crackers,cereal,graham_crackers,crackers,oatmeal,nutella,chili,butter"
"orange,ginger","graham_crackers,cereal,graham_crackers,crackers,oatmeal,nutella,chili,butter,corn,ginger"
"banana,orange","graham_crackers,cereal,graham_crackers,crackers,oatmeal,nutella,chili,butter,corn,ginger,orange"
"breakfast_cereal,cereal",cereal
"tea,graham_crackers","cereal,breakfast_cereal,cereal,crackers,graham_crackers"
"oatmeal,breakfast_cereal","breakfast_cereal,crackers"
"graham_crackers,crackers","breakfast_cereal,crackers,oatmeal,breakfast_cereal"
"corn,peas","breakfast_cereal,crackers,oatmeal,breakfast_cereal,graham_crackers,peas"
"soup,corn","breakfast_cereal,crackers,oatmeal,breakfast_cereal,graham_crackers,peas,corn"
"nutella,oatmeal","breakfast_cereal,crackers,oatmeal,breakfast_cereal,graham_crackers,peas,corn,soup"
"peanut_butter,nutella","breakfast_cereal,crackers,oatmeal,breakfast_cereal,graham_crackers,peas,corn,soup,nutella"
"banana,apple","breakfast_cereal,crackers,oatmeal,breakfast_cereal,graham_crackers,peas,corn,soup,nutella,peanut_butter,sprite,apple"
"soup,chili",chili
"graham_crackers,tea","chili,soup,chili,peas,jam,sprite,tea"
"orange,banana","chili,soup,chili,peas,jam,sprite,tea,graham_crackers,banana"
"noodles,coffee_sugar","chili,soup,chili,peas,jam,sprite,tea,graham_crackers,banana,orange,coffee_sugar"
"crackers,graham_crackers","chili,soup,chili,peas,jam,sprite,tea,graham_crackers,banana,orange,coffee_sugar,noodles"
"cookies,cereal",cereal
"tea,cookies","cereal,cookies,cereal"
"crackers,tea","cereal,cookies,cereal,tea"
"jam,peas","cereal,cookies,cereal,tea,crackers,oatmeal,peas"
"orange,apple","cereal,cookies,cereal,tea,crackers,oatmeal,peas,jam,fanta,nutella,apple"
"banana,apple","cereal,cookies,cereal,tea,crackers,oatmeal,peas,jam,fanta,nutella,apple,orange"
"tea,graham_crackers",graham_crackers
"crackers,tea","graham_crackers,tea,graham_crackers"
"cereal,crackers","graham_crackers,tea,graham_crackers,crackers"
"noodles,nutella","graham_crackers,tea,graham_crackers,crackers,cereal,nutella"
"sprite,noodles","graham_crackers,tea,graham_crackers,crackers,cereal,nutella,noodles"
"oatmeal,sprite","graham_crackers,tea,graham_crackers,crackers,cereal,nutella,noodles,sprite"
"banana,orange","graham_crackers,tea,graham_crackers,crackers,cereal,nutella,noodles,sprite,oatmeal,orange"
"ginger,banana","graham_crackers,tea,graham_crackers,crackers,cereal,nutella,noodles,sprite,oatmeal,orange,banana"
"cookies,breakfast_cereal",breakfast_cereal
"crackers,cookies","breakfast_cereal,cookies,breakfast_cereal"
"soup,chili","breakfast_cereal,cookies,breakfast_cereal,crackers,chili"
"coffee_sugar,crackers","breakfast_cereal,cookies,breakfast_cereal,crackers,chili,soup,jam"
"banana,orange","breakfast_cereal,cookies,breakfast_cereal,crackers,chili,soup,jam,coffee_sugar,orange"
"noodles,chili","breakfast_cereal,cookies,breakfast_cereal,crackers,chili,soup,jam,coffee_sugar,orange,banana"
"ginger,soup","breakfast_cereal,cookies,breakfast_cereal,crackers,chili,soup,jam,coffee_sugar,orange,banana,noodles"
"breakfast_cereal,cereal",cereal
"oatmeal,breakfast_cereal","cereal,breakfast_cereal,cereal"
"tea,coffee_sugar","cereal,breakfast_cereal,cereal,oatmeal,coffee_sugar"
"peas,nutella","cereal,breakfast_cereal,cereal,oatmeal,coffee_sugar,tea,nutella"
"coke,sprite","cereal,breakfast_cereal,cereal,oatmeal,coffee_sugar,tea,nutella,peas,sprite"
"dr_pepper,coke","cereal,breakfast_cereal,cereal,oatmeal,coffee_sugar,tea,nutella,peas,sprite,coke"
"fanta,dr_pepper","crackers,breakfast_cereal,tea,dr_pepper"
"orange,banana","crackers,breakfast_cereal,tea,dr_pepper,fanta,soup,nutella,jam,banana"
"sprite,fanta","crackers,breakfast_cereal,tea,dr_pepper,fanta,soup,nutella,jam,banana,orange"
"breakfast_cereal,cereal",cereal
"tea,breakfast_cereal","cereal,breakfast_cereal,cereal"
"cookies,tea","cereal,breakfast_cereal,cereal,tea"
"crackers,cookies","cereal,breakfast_cereal,cereal,tea,cookies"
"fanta,crackers","cereal,breakfast_cereal,cereal,tea,cookies,crackers"
"orange,apple","cereal,breakfast_cereal,cereal,tea,cookies,crackers,fanta,apple"
"banana,orange","cereal,breakfast_cereal,cereal,tea,cookies,crackers,fanta,apple,orange"
"fanta,sprite","cereal,breakfast_cereal,cereal,tea,cookies,crackers,fanta,apple,orange,banana,sprite"
"noodles,cookies",cookies
"tea,noodles","cookies,noodles,cookies"
"crackers,tea","cookies,noodles,cookies,tea"
"jam,crackers","cookies,noodles,cookies,tea,crackers"
"fanta,jam","cookies,noodles,cookies,tea,crackers,jam"
"sprite,fanta","cookies,noodles,cookies,tea,crackers,jam,fanta,corn"
"peas,corn","cookies,noodles,cookies,tea,crackers,jam,fanta,corn,sprite"
"apple,orange","cookies,noodles,cookies,tea,crackers,jam,fanta,corn,sprite,peas,orange"
"banana,apple","cookies,noodles,cookies,tea,crackers,jam,fanta,corn,sprite,peas,orange,apple"
"tea,crackers",crackers
"coke,tea","crackers,tea,crackers"
"apple,coke","crackers,tea,crackers,coke"
"orange,fanta","crackers,tea,crackers,coke,apple,fanta"
"peas,sprite","crackers,tea,crackers,coke,apple,fanta,orange,breakfast_cereal,banana,sprite"
"jam,peas","crackers,tea,crackers,coke,apple,fanta,orange,breakfast_cereal,banana,sprite,peas"
"noodles,jam","crackers,tea,crackers,coke,apple,fanta,orange,breakfast_cereal,banana,sprite,peas,jam"
"crackers,cookies",cookies
"corn,oatmeal","cookies,crackers,cookies,oatmeal"
"peas,corn","cookies,crackers,cookies,oatmeal,corn"
"chili,peas","cookies,crackers,cookies,oatmeal,corn,peas,nutella"
"jam,chili","cookies,crackers,cookies,oatmeal,corn,peas,nutella,chili"
"peanut_butter,jam","cookies,crackers,cookies,oatmeal,corn,peas,nutella,chili,jam"
"orange,apple","cookies,crackers,cookies,oatmeal,corn,peas,nutella,chili,jam,peanut_butter,fanta,apple"
"banana,orange","cookies,crackers,cookies,oatmeal,corn,peas,nutella,chili,jam,peanut_butter,fanta,apple,orange"
"coffee_sugar,crackers",crackers
"cookies,coffee_sugar","crackers,coffee_sugar,crackers"
"tea,cookies","crackers,coffee_sugar,crackers,cookies"
"peanut_butter,oatmeal","crackers,coffee_sugar,crackers,cookies,tea,oatmeal"
"soup,peanut_butter","crackers,coffee_sugar,crackers,cookies,tea,oatmeal,peanut_butter"
"jam,soup","crackers,coffee_sugar,crackers,cookies,tea,oatmeal,peanut_butter,soup"
"sprite,jam","crackers,coffee_sugar,crackers,cookies,tea,oatmeal,peanut_butter,soup,jam"
"noodles,sprite","crackers,coffee_sugar,crackers,cookies,tea,oatmeal,peanut_butter,soup,jam,sprite,orange"
"banana,orange","crackers,coffee_sugar,crackers,cookies,tea,oatmeal,peanut_butter,soup,jam,sprite,orange,noodles"
"chili,soup",soup
"banana,apple","soup,chili,soup,apple"
"orange,banana","soup,chili,soup,apple,banana"
"jam,nutella","soup,chili,soup,apple,banana,orange,nutella,graham_crackers,coffee_sugar"
"peas,chili","soup,chili,soup,apple,banana,orange,nutella,graham_crackers,coffee_sugar,jam"
"crackers,graham_crackers","soup,chili,soup,apple,banana,orange,nutella,graham_crackers,coffee_sugar,jam,peas"
"soup,chili","breakfast_cereal,cookies,oatmeal,chili"
"cookies,breakfast_cereal",breakfast_cereal
"tea,oatmeal","breakfast_cereal,cookies,breakfast_cereal,oatmeal"
"apple,ginger","breakfast_cereal,cookies,breakfast_cereal,oatmeal,tea,ginger"
"peas,corn","breakfast_cereal,cookies,breakfast_cereal,oatmeal,tea,ginger,apple,corn"
"jam,nutella","breakfast_cereal,cookies,breakfast_cereal,oatmeal,tea,ginger,apple,corn,peas,nutella"
"noodles,tea","breakfast_cereal,cookies,breakfast_cereal,oatmeal,tea,ginger,apple,corn,peas,nutella,jam"
"soup,peas","breakfast_cereal,cookies,breakfast_cereal,oatmeal,tea,ginger,apple,corn,peas,nutella,jam,noodles"
"breakfast_cereal,cereal",cereal
"oatmeal,breakfast_cereal","cereal,breakfast_cereal,cereal"
"graham_crackers,cookies","cereal,breakfast_cereal,cereal,oatmeal,cookies"
"cookies,crackers",crackers
"tea,cookies","crackers,cookies,crackers"
"graham_crackers,tea","crackers,cookies,crackers,tea"
"peanut_butter,jam","crackers,cookies,crackers,tea,graham_crackers,jam"
"nutella,peanut_butter","crackers,cookies,crackers,tea,graham_crackers,jam,peanut_butter"
"banana,apple","crackers,cookies,crackers,tea,graham_crackers,jam,peanut_butter,nutella,apple"
"sprite,fanta","crackers,cookies,crackers,tea,graham_crackers,jam,peanut_butter,nutella,apple,banana,fanta"
"orange,banana","crackers,cookies,crackers,tea,graham_crackers,jam,peanut_butter,nutella,apple,banana,fanta,sprite"
"noodles,cookies","crackers,cookies,crackers,tea,graham_crackers,jam,peanut_butter,nutella,apple,banana,fanta,sprite,orange"
"corn,peas","crackers,cookies,crackers,tea,graham_crackers,jam,peanut_butter,nutella,apple,banana,fanta,sprite,orange,noodles,peas"
"cereal,breakfast_cereal",breakfast_cereal
"crackers,cereal","breakfast_cereal,cereal,breakfast_cereal"
"cookies,crackers","breakfast_cereal,cereal,breakfast_cereal,crackers"
"graham_crackers,cookies","breakfast_cereal,cereal,breakfast_cereal,crackers,cookies"
"coffee_sugar,tea","breakfast_cereal,cereal,breakfast_cereal,crackers,cookies,graham_crackers,tea"
"jam,coffee_sugar","breakfast_cereal,cereal,breakfast_cereal,crackers,cookies,graham_crackers,tea,coffee_sugar"
"peanut_butter,jam","breakfast_cereal,cereal,breakfast_cereal,crackers,cookies,graham_crackers,tea,coffee_sugar,jam"
"oatmeal,breakfast_cereal",breakfast_cereal
"tea,coffee_sugar","breakfast_cereal,oatmeal,breakfast_cereal,coffee_sugar"
"peanut_butter,oatmeal","breakfast_cereal,oatmeal,breakfast_cereal,coffee_sugar,tea"
"nutella,peanut_butter","breakfast_cereal,oatmeal,breakfast_cereal,coffee_sugar,tea,peanut_butter"
"jam,nutella","breakfast_cereal,oatmeal,breakfast_cereal,coffee_sugar,tea,peanut_butter,nutella"
"orange,banana","breakfast_cereal,oatmeal,breakfast_cereal,coffee_sugar,tea,peanut_butter,nutella,jam,banana"
"chili,soup","breakfast_cereal,oatmeal,breakfast_cereal,coffee_sugar,tea,peanut_butter,nutella,jam,banana,orange,soup"
"noodles,chili","breakfast_cereal,oatmeal,breakfast_cereal,coffee_sugar,tea,peanut_butter,nutella,jam,banana,orange,soup,chili"
"breakfast_cereal,cereal",cereal
"crackers,breakfast_cereal","cereal,breakfast_cereal,cereal"
"tea,coffee_sugar","cereal,breakfast_cereal,cereal,crackers,coffee_sugar"
"peas,soup","cereal,breakfast_cereal,cereal,crackers,coffee_sugar,tea,soup"
"jam,peas","cereal,breakfast_cereal,cereal,crackers,coffee_sugar,tea,soup,peas"
"chili,jam","cereal,breakfast_cereal,cereal,crackers,coffee_sugar,tea,soup,peas,jam"
"banana,ginger","cereal,breakfast_cereal,cereal,crackers,coffee_sugar,tea,soup,peas,jam,chili,dr_pepper,ginger"
"oatmeal,cereal",cereal
"peanut_butter,jam","cereal,oatmeal,cereal,jam"
"nutella,peanut_butter","cereal,oatmeal,cereal,jam,peanut_butter"
"orange,apple","cereal,oatmeal,cereal,jam,peanut_butter,nutella,apple"
"crackers,graham_crackers","cereal,oatmeal,cereal,jam,peanut_butter,nutella,apple,orange,graham_crackers"
"tea,coffee_sugar","cereal,oatmeal,cereal,jam,peanut_butter,nutella,apple,orange,graham_crackers,crackers,coffee_sugar"
"cookies,crackers","cereal,oatmeal,cereal,jam,peanut_butter,nutella,apple,orange,graham_crackers,crackers,coffee_sugar,tea"
"breakfast_cereal,cereal",cereal
"crackers,breakfast_cereal","cereal,breakfast_cereal,cereal"
"sprite,dr_pepper","cereal,breakfast_cereal,cereal,crackers,dr_pepper"
"coke,sprite","cereal,breakfast_cereal,cereal,crackers,dr_pepper,sprite"
"fanta,coke","cereal,breakfast_cereal,cereal,crackers,dr_pepper,sprite,coke"
"tea,crackers","cereal,breakfast_cereal,cereal,crackers,dr_pepper,sprite,coke,fanta"
"soup,tea","cereal,breakfast_cereal,cereal,crackers,dr_pepper,sprite,coke,fanta,tea"
"orange,apple","cereal,breakfast_cereal,cereal,crackers,dr_pepper,sprite,coke,fanta,tea,soup,apple"
"orange,apple",apple
"banana,orange","apple,orange,apple"
"ginger,banana","apple,orange,apple,banana"
"nutella,peanut_butter","apple,orange,apple,banana,ginger,peanut_butter"
"graham_crackers,breakfast_cereal","apple,orange,apple,banana,ginger,peanut_butter,nutella,sprite,breakfast_cereal"
"corn,soup","apple,orange,apple,banana,ginger,peanut_butter,nutella,sprite,breakfast_cereal,graham_crackers,oatmeal,soup"
"tea,oatmeal",oatmeal
"nutella,tea","oatmeal,tea,oatmeal"
"graham_crackers,nutella","oatmeal,tea,oatmeal,nutella"
"crackers,graham_crackers","oatmeal,tea,oatmeal,nutella,graham_crackers"
"coffee_sugar,crackers","oatmeal,tea,oatmeal,nutella,graham_crackers,crackers"
"jam,noodles","oatmeal,tea,oatmeal,nutella,graham_crackers,crackers,coffee_sugar,noodles"
"sprite,jam","oatmeal,tea,oatmeal,nutella,graham_crackers,crackers,coffee_sugar,noodles,jam"
"banana,orange","oatmeal,tea,oatmeal,nutella,graham_crackers,crackers,coffee_sugar,noodles,jam,sprite,orange"
"ginger,banana","oatmeal,tea,oatmeal,nutella,graham_crackers,crackers,coffee_sugar,noodles,jam,sprite,orange,banana"
"graham_crackers,cereal",cereal
"cookies,graham_crackers","cereal,graham_crackers,cereal"
"oatmeal,cookies","cereal,graham_crackers,cereal,cookies"
"corn,peas","cereal,graham_crackers,cereal,cookies,oatmeal,peas"
"soup,chili","cereal,graham_crackers,cereal,cookies,oatmeal,peas,corn,chili"
"peanut_butter,soup","cereal,graham_crackers,cereal,cookies,oatmeal,peas,corn,chili,soup"
"orange,ginger","cereal,graham_crackers,cereal,cookies,oatmeal,peas,corn,chili,soup,peanut_butter,ginger"
"banana,orange","cereal,graham_crackers,cereal,cookies,oatmeal,peas,corn,chili,soup,peanut_butter,ginger,orange"
"breakfast_cereal,cereal",cereal
"graham_crackers,breakfast_cereal","cereal,breakfast_cereal,cereal"
"cookies,graham_crackers","cereal,breakfast_cereal,cereal,graham_crackers"
"jam,peanut_butter","cereal,breakfast_cereal,cereal,graham_crackers,cookies,oatmeal,peanut_butter"
"orange,banana","cereal,breakfast_cereal,cereal,graham_crackers,cookies,oatmeal,peanut_butter,jam,banana"
"ginger,banana","cereal,breakfast_cereal,cereal,graham_crackers,cookies,oatmeal,peanut_butter,jam,banana,orange,soup"
"peas,soup","cereal,breakfast_cereal,cereal,graham_crackers,cookies,oatmeal,peanut_butter,jam,banana,orange,soup,ginger"
"crackers,breakfast_cereal",breakfast_cereal
"tea,coffee_sugar","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar"
"fanta,dr_pepper","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,dr_pepper"
"coke,fanta","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,dr_pepper,fanta"
"apple,banana","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,dr_pepper,fanta,coke,banana"
"orange,apple","breakfast_cereal,crackers,breakfast_cereal,coffee_sugar,tea,dr_pepper,fanta,coke,banana,apple"
"crackers,cookies",cookies
"oatmeal,crackers","cookies,crackers,cookies"
"noodles,oatmeal","cookies,crackers,cookies,oatmeal"
"peanut_butter,noodles","cookies,crackers,cookies,oatmeal,noodles"
"corn,peanut_butter","cookies,crackers,cookies,oatmeal,noodles,peanut_butter"
"peas,corn","cookies,crackers,cookies,oatmeal,noodles,peanut_butter,corn"
"jam,peas","cookies,crackers,cookies,oatmeal,noodles,peanut_butter,corn,peas"
"fanta,jam","cookies,crackers,cookies,oatmeal,noodles,peanut_butter,corn,peas,jam"
"sprite,fanta","cookies,crackers,cookies,oatmeal,noodles,peanut_butter,corn,peas,jam,fanta"
"butter,sprite","cookies,crackers,cookies,oatmeal,noodles,peanut_butter,corn,peas,jam,fanta,sprite"
"apple,butter","cookies,crackers,cookies,oatmeal,noodles,peanut_butter,corn,peas,jam,fanta,sprite,butter"
